symbol,asof_date,close,avg_turnover_60d
TITAN,2026-08-07,4941.0,3945920289.417037
TMCV,2026-08-07,453.1000061035156,3760712789.870197
TMPV,2026-08-07,347.0,4252686047.521893
TORNTPHARM,2026-08-07,4924.0,3163831844.641569
TORNTPOWER,2026-08-07,1350.800048828125,567050573.579067
TRAVELFOOD,2026-08-07,1428.5999755859375,104969584.84338583
TRENT,2026-08-07,2997.0,4566153152.939494
TRIDENT,2026-08-07,25.18000030517578,173774045.45339966
TRITURBINE,2026-08-07,636.4500122070312,1394247523.5349681
TTML,2026-08-07,39.369998931884766,167708578.2151757
TVSMOTOR,2026-08-07,4440.89990234375,4829126064.281087
UBL,2026-08-07,1400.300048828125,200654954.4835083
UCOBANK,2026-08-07,26.399999618530273,214166800.10092133
ULTRACEMCO,2026-08-07,12105.0,3590098284.5
UNIONBANK,2026-08-07,183.60000610351562,2609674978.344359
UNITDSPR,2026-08-07,1512.4000244140625,1326451378.6294394
UNOMINDA,2026-08-07,1285.0,1068289148.8737183
UPL,2026-08-07,573.0,1338094512.027536
URBANCO,2026-08-07,143.74000549316406,719981785.0462865
USHAMART,2026-08-07,515.0499877929688,317522665.8741816
UTIAMC,2026-08-07,896.6500244140625,205521119.47782186
VBL,2026-08-07,442.0,3236273495.6982746
